Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Notes,,,,,
https://github.com/Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-engine,org.activiti.engine.test.cfg.RetryInterceptorTest.testRetryInterceptor,NIO,Accepted,https://github.com/Activiti/Activiti/pull/3488,,,,,,
https://github.com/Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-engine,org.activiti.standalone.validation.DisabledSchemaValidationTest.testDisableValidation,NIO,Accepted,https://github.com/Activiti/Activiti/pull/3487,,,,,,
https://github.com/alibaba/easy-retry,16e0c4156347658c1fd701ad4bf53aeeb214ce50,easy-retry-extensions,com.alibaba.easyretry.extension.mybatis.access.MybatisRetryTaskAccessTest.finish,OD-Vic,Opened,https://github.com/alibaba/easy-retry/pull/28,,,,,,
https://github.com/alibaba/easy-retry,16e0c4156347658c1fd701ad4bf53aeeb214ce50,easy-retry-extensions,com.alibaba.easyretry.extension.mybatis.access.MybatisRetryTaskAccessTest.handle,OD-Vic,Opened,https://github.com/alibaba/easy-retry/pull/28,,,,,,
https://github.com/alibaba/easy-retry,16e0c4156347658c1fd701ad4bf53aeeb214ce50,easy-retry-extensions,com.alibaba.easyretry.extension.mybatis.access.MybatisRetryTaskAccessTest.stop,OD-Vic,Opened,https://github.com/alibaba/easy-retry/pull/28,,,,,,
https://github.com/alibaba/easy-retry,16e0c4156347658c1fd701ad4bf53aeeb214ce50,easy-retry-extensions,com.alibaba.easyretry.extension.mybatis.dao.RetryTaskDAOImplTest.deleteRetryTask,OD-Vic,Opened,https://github.com/alibaba/easy-retry/pull/28,,,,,,
https://github.com/alibaba/easy-retry,16e0c4156347658c1fd701ad4bf53aeeb214ce50,easy-retry-extensions,com.alibaba.easyretry.extension.mybatis.dao.RetryTaskDAOImplTest.listRetryTask,OD-Vic,Opened,https://github.com/alibaba/easy-retry/pull/28,,,,,,
https://github.com/alibaba/fastjson,c942c83443117b73af5ad278cc780270998ba3e1,.,com.alibaba.json.bvt.issue_2700.Issue2784.test_for_issue,NOD,Opened,https://github.com/alibaba/fastjson/pull/4460,RepoArchived,,,,,
https://github.com/alibaba/fastjson2,3de60a9769f2c95cbceef13b0158b1af934ab323,codegen-test,com.alibaba.fastjson2.internal.processor.primitives.DateTypeTest.test,TZD,Accepted,https://github.com/alibaba/fastjson2/pull/3159,https://github.com/alibaba/fastjson2/issues/3158,,,,,
https://github.com/alibaba/fastjson2,3de60a9769f2c95cbceef13b0158b1af934ab323,codegen-test,com.alibaba.fastjson2.internal.processor.primitives.UtilTypeTest.test,TZD,Accepted,https://github.com/alibaba/fastjson2/pull/3166,https://github.com/alibaba/fastjson2/issues/3165,,,,,
https://github.com/alibaba/nacos,525672272ecb00cd769a13c7b21a8e51cf873f25,api,com.alibaba.nacos.api.naming.pojo.healthcheck.HealthCheckerFactoryTest.testDeserializeExtend,OD-Vic,Accepted,https://github.com/alibaba/nacos/pull/4384,,,,,,
https://github.com/alibaba/Sentinel,0a34fc4d11392f0587e7ba5bf2626f902b23c750,sentinel-adapter/sentinel-jax-rs-adapter,com.alibaba.csp.sentinel.adapter.jaxrs.ClientFilterTest.testClientFallback,OD-Vic,Opened,https://github.com/alibaba/Sentinel/pull/3272,https://github.com/alibaba/Sentinel/issues/3271,,,,,
https://github.com/alibaba/Sentinel,0a34fc4d11392f0587e7ba5bf2626f902b23c750,sentinel-adapter/sentinel-jax-rs-adapter,com.alibaba.csp.sentinel.adapter.jaxrs.ProviderFilterTest.testCustomRequestOriginParser,OD-Vic,Opened,https://github.com/alibaba/Sentinel/pull/3272,https://github.com/alibaba/Sentinel/issues/3271,,,,,
https://github.com/alibaba/Sentinel,0a34fc4d11392f0587e7ba5bf2626f902b23c750,sentinel-adapter/sentinel-jax-rs-adapter,com.alibaba.csp.sentinel.adapter.jaxrs.ProviderFilterTest.testDefaultFallback,OD-Vic,Opened,https://github.com/alibaba/Sentinel/pull/3272,https://github.com/alibaba/Sentinel/issues/3271,,,,,
https://github.com/alibaba/Sentinel,051d583fd89a8ecd509d182a1883335119f1a8bf,sentinel-adapter/sentinel-reactor-adapter/sentinel-reactor-sofa-rpc-adatper,com.alibaba.csp.sentinel.adapter.sofa.rpc.fallback.SofaRpcFallbackRegistryTest.testDefaultfallback,OD-Vic,Opened,https://github.com/alibaba/Sentinel/pull/3282,https://github.com/alibaba/Sentinel/issues/3281,,,,,
https://github.com/alibaba/Sentinel,051d583fd89a8ecd509d182a1883335119f1a8bf,sentinel-extension/sentinel-annotation-aspectj,com.alibaba.csp.sentinel.annotation.aspectj.integration.SentinelAnnotationIntegrationTest.testFallBackPrivateMethod,OD-Brit,Opened,https://github.com/alibaba/Sentinel/pull/2558,,,,,,
https://github.com/alibaba/Sentinel,195150bc745927429e9f14f501907310b46d702f,sentinel-core,com.alibaba.csp.sentinel.eagleeye.EagleEyeCoreUtilsTest.testFormatTime,TZD,Opened,https://github.com/alibaba/Sentinel/pull/3459,,,,,,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.bigIntAsAttachmentMaxSize,OD-Vic,Accepted,https://github.com/apache/cxf/pull/1528,,,,,,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.byteAsAttachmentMaxSize,OD-Vic,Accepted,https://github.com/apache/cxf/pull/1528,,,,,,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.fileAsAttachmentDirectory,OD-Vic,Accepted,https://github.com/apache/cxf/pull/1528,,,,,,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.integerAsAttachmentMaxSize,OD-Vic,Accepted,https://github.com/apache/cxf/pull/1528,,,,,,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.longAsAttachmentMaxSize,OD-Vic,Accepted,https://github.com/apache/cxf/pull/1528,,,,,,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.numberStringAsAttachmentMaxSize,OD-Vic,Accepted,https://github.com/apache/cxf/pull/1528,,,,,,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.shortAsAttachmentMaxSize,OD-Vic,Accepted,https://github.com/apache/cxf/pull/1528,,,,,,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.stringAsAttachmentDirectory,OD-Vic,Accepted,https://github.com/apache/cxf/pull/1528,,,,,,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.io.CacheAndWriteOutputStreamTest.testDeleteTmpFile,OD-Brit,Accepted,https://github.com/apache/cxf/pull/942,,,,,,
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.io.CachedOutputStreamTest.testDeleteTmpFile,OD-Brit,Accepted,https://github.com/apache/cxf/pull/942,,,,,,
